floor,number,type
11,12,standard
11,13,standard
11,14,standard
11,15,suite
11,16,deluxe
11,17,superior
11,18,deluxe
11,19,superior
11,20,standard
11,21,standard
11,22,deluxe
11,23,superior
11,24,superior
11,25,superior
11,26,standard
11,27,superior
11,28,standard
11,29,standard
11,30,suite
11,31,deluxe
11,32,suite
11,33,superior
11,34,standard
11,35,superior
11,36,superior
11,37,standard
11,38,standard
11,39,standard
11,40,deluxe
12,1,standard
12,2,standard
12,3,deluxe
12,4,superior
12,5,standard
12,6,deluxe
12,7,standard
12,8,superior
12,9,superior
12,10,deluxe
12,11,deluxe
12,12,standard
12,13,standard
12,14,standard
12,15,suite
12,16,deluxe
12,17,superior
12,18,deluxe
12,19,superior
12,20,standard
12,21,standard
12,22,deluxe
12,23,superior
12,24,superior
12,25,superior
12,26,standard
12,27,superior
12,28,standard
12,29,standard
12,30,suite
12,31,deluxe
12,32,suite
12,33,superior
12,34,standard
12,35,superior
12,36,superior
12,37,standard
12,38,standard
12,39,standard
12,40,deluxe
13,1,standard
13,2,standard
13,3,deluxe
13,4,superior
13,5,standard
13,6,deluxe
13,7,standard
13,8,superior
13,9,superior
13,10,deluxe
13,11,deluxe
13,12,standard
13,13,standard
13,14,standard
13,15,suite
13,16,deluxe
13,17,superior
13,18,deluxe
13,19,superior
13,20,standard
13,21,standard
13,22,deluxe
13,23,superior
13,24,superior
13,25,superior
13,26,standard
13,27,superior
13,28,standard
13,29,standard
13,30,suite
13,31,deluxe
13,32,suite
13,33,superior
13,34,standard
13,35,superior
13,36,superior
13,37,standard
13,38,standard
13,39,standard
13,40,deluxe
14,1,standard
14,2,standard
14,3,deluxe
14,4,superior
14,5,standard
14,6,deluxe
14,7,standard
14,8,superior
14,9,superior
14,10,deluxe
14,11,deluxe
14,12,standard
14,13,standard
14,14,standard
14,15,suite
14,16,deluxe
14,17,superior
14,18,deluxe
14,19,superior
14,20,standard
14,21,standard
14,22,deluxe
14,23,superior
14,24,superior
14,25,superior
14,26,standard
14,27,superior
14,28,standard
14,29,standard
14,30,suite
14,31,deluxe
14,32,suite
14,33,superior
14,34,standard
14,35,superior
14,36,superior
14,37,standard
14,38,standard
14,39,standard
14,40,deluxe
15,1,standard
15,2,standard
15,3,deluxe
15,4,superior
15,5,standard
15,6,deluxe
15,7,standard
15,8,superior
15,9,superior
15,10,deluxe
15,11,deluxe
15,12,standard
15,13,standard
15,14,standard
15,15,suite
15,16,deluxe
15,17,superior
15,18,deluxe
15,19,superior
15,20,standard
15,21,standard
15,22,deluxe
15,23,superior
15,24,superior
15,25,superior
15,26,standard
15,27,superior
15,28,standard
15,29,standard
15,30,suite
15,31,deluxe
15,32,suite
15,33,superior
15,34,standard
15,35,superior
15,36,superior
15,37,standard
15,38,standard
15,39,standard
15,40,deluxe
16,1,standard
16,2,standard
16,3,deluxe
16,4,superior
16,5,standard
16,6,deluxe
16,7,standard
16,8,superior
16,9,superior
16,10,deluxe
16,11,deluxe
16,12,standard
16,13,standard
16,14,standard
16,15,suite
16,16,deluxe
16,17,superior
16,18,deluxe
16,19,superior
16,20,standard
16,21,standard
16,22,deluxe
16,23,superior
16,24,superior
16,25,superior
16,26,standard
16,27,superior
16,28,standard
16,29,standard
16,30,suite
16,31,deluxe
16,32,suite
16,33,superior
16,34,standard
16,35,superior
16,36,superior
16,37,standard
16,38,standard
16,39,standard
16,40,deluxe
17,1,standard
17,2,standard
17,3,deluxe
17,4,superior
17,5,standard
17,6,deluxe
17,7,standard
17,8,superior
17,9,superior
17,10,deluxe
17,11,deluxe
17,12,standard
17,13,standard
17,14,standard
17,15,suite
17,16,deluxe
17,17,superior
17,18,deluxe
17,19,superior
17,20,standard
17,21,standard
17,22,deluxe
17,23,superior
17,24,superior
17,25,superior
17,26,standard
17,27,superior
17,28,standard
17,29,standard
17,30,suite
17,31,deluxe
17,32,suite
17,33,superior
17,34,standard
17,35,superior
17,36,superior
17,37,standard
17,38,standard
17,39,standard
17,40,deluxe
18,1,standard
18,2,standard
18,3,deluxe
18,4,superior
18,5,standard
18,6,deluxe
18,7,standard
18,8,superior
18,9,superior
18,10,deluxe
18,11,deluxe
18,12,standard
18,13,standard
18,14,standard
18,15,suite
18,16,deluxe
18,17,superior
18,18,deluxe
18,19,superior
18,20,standard
18,21,standard
18,22,deluxe
18,23,superior
18,24,superior
18,25,superior
18,26,standard
18,27,superior
18,28,standard
18,29,standard
18,30,suite
18,31,deluxe
18,32,suite
18,33,superior
18,34,standard
18,35,superior
18,36,superior
18,37,standard
18,38,standard
18,39,standard
18,40,deluxe
19,1,standard
19,2,standard
19,3,deluxe
19,4,superior
19,5,standard
19,6,deluxe
19,7,standard
19,8,superior
19,9,superior
19,10,deluxe
19,11,deluxe
19,12,standard
19,13,standard
19,14,standard
19,15,suite
19,16,deluxe
19,17,superior
19,18,deluxe
19,19,superior
19,20,standard
19,21,standard
19,22,deluxe
19,23,superior
19,24,superior
19,25,superior
19,26,standard
19,27,superior
19,28,standard
19,29,standard
19,30,suite
19,31,deluxe
19,32,suite
19,33,superior
19,34,standard
19,35,superior
19,36,superior
19,37,standard
19,38,standard
19,39,standard
19,40,deluxe
20,1,standard
20,2,standard
20,3,deluxe
20,4,superior
20,5,standard
20,6,deluxe
20,7,standard
20,8,superior
20,9,superior
20,10,deluxe
20,11,deluxe
20,12,standard
20,13,standard
20,14,standard
20,15,suite
20,16,deluxe
20,17,superior
20,18,deluxe
20,19,superior
20,20,standard
20,21,standard
20,22,deluxe
20,23,superior
20,24,superior
20,25,superior
20,26,standard
20,27,superior
20,28,standard
20,29,standard
20,30,suite
20,31,deluxe
20,32,suite
20,33,superior
20,34,standard
20,35,superior
20,36,superior
20,37,standard
20,38,standard
20,39,standard
20,40,deluxe
21,1,standard
21,2,standard
21,3,deluxe
21,4,superior
21,5,standard
21,6,deluxe
21,7,standard
21,8,superior
21,9,superior
21,10,deluxe
21,11,deluxe
21,12,standard
21,13,standard
21,14,standard
21,15,suite
21,16,deluxe
21,17,superior
21,18,deluxe
21,19,superior
21,20,standard
21,21,standard
21,22,deluxe
21,23,superior
21,24,superior
21,25,superior
21,26,standard
21,27,superior
21,28,standard
21,29,standard
21,30,suite
21,31,deluxe
21,32,suite
21,33,superior
21,34,standard
21,35,superior
21,36,superior
21,37,standard
21,38,standard
21,39,standard
21,40,deluxe
22,1,standard
22,2,standard
22,3,deluxe
22,4,superior
22,5,standard
22,6,deluxe
22,7,standard
22,8,superior
22,9,superior
22,10,deluxe
22,11,deluxe
22,12,standard
22,13,standard
22,14,standard
22,15,suite
22,16,deluxe
22,17,superior
22,18,deluxe
22,19,superior
22,20,standard
22,21,standard
22,22,deluxe
22,23,superior
22,24,superior
22,25,superior
22,26,standard
22,27,superior
22,28,standard
22,29,standard
22,30,suite
22,31,deluxe
22,32,suite
22,33,superior
22,34,standard
22,35,superior
22,36,superior
22,37,standard
22,38,standard
22,39,standard
22,40,deluxe
23,1,standard
23,2,standard
23,3,deluxe
23,4,superior
23,5,standard
23,6,deluxe
23,7,standard
23,8,superior
23,9,superior
23,10,deluxe
23,11,deluxe
23,12,standard
23,13,standard
23,14,standard
23,15,suite
23,16,deluxe
23,17,superior
23,18,deluxe
23,19,superior
23,20,standard
23,21,standard
23,22,deluxe
23,23,superior
23,24,superior
23,25,superior
23,26,standard
23,27,superior
23,28,standard
23,29,standard
23,30,suite
23,31,deluxe
23,32,suite
23,33,superior
23,34,standard
23,35,superior
23,36,superior
23,37,standard
23,38,standard
23,39,standard
23,40,deluxe
24,1,standard
24,2,standard
24,3,deluxe
24,4,superior
24,5,standard
24,6,deluxe
24,7,standard
24,8,superior
24,9,superior
24,10,deluxe
24,11,deluxe
24,12,standard
24,13,standard
24,14,standard
24,15,suite
24,16,deluxe
24,17,superior
24,18,deluxe
24,19,superior
24,20,standard
24,21,standard
24,22,deluxe
24,23,superior
24,24,superior
24,25,superior
24,26,standard
24,27,superior
24,28,standard
24,29,standard
24,30,suite
24,31,deluxe
24,32,suite
24,33,superior
24,34,standard
24,35,superior
24,36,superior
24,37,standard
24,38,standard
24,39,standard
24,40,deluxe
25,1,standard
25,2,standard
25,3,deluxe
25,4,superior
25,5,standard
25,6,deluxe
25,7,standard
25,8,superior
25,9,superior
25,10,deluxe
25,11,deluxe
25,12,standard
25,13,standard
25,14,standard
25,15,suite
25,16,deluxe
25,17,superior
25,18,deluxe
25,19,superior
25,20,standard
25,21,standard
25,22,deluxe
25,23,superior
25,24,superior
25,25,superior
25,26,standard
25,27,superior
25,28,standard
25,29,standard
25,30,suite
25,31,deluxe
25,32,suite
25,33,superior
25,34,standard
25,35,superior
25,36,superior
25,37,standard
25,38,standard
25,39,standard
25,40,deluxe
26,1,standard
26,2,standard
26,3,deluxe
26,4,superior
26,5,standard
26,6,deluxe
26,7,standard
26,8,superior
26,9,superior
26,10,deluxe
26,11,deluxe
26,12,standard
26,13,standard
26,14,standard
26,15,suite
26,16,deluxe
26,17,superior
26,18,deluxe
26,19,superior
26,20,standard
26,21,standard
26,22,deluxe
26,23,superior
26,24,superior
26,25,superior
26,26,standard
26,27,superior
26,28,standard
26,29,standard
26,30,suite
26,31,deluxe
26,32,suite
26,33,superior
26,34,standard
26,35,superior
26,36,superior
26,37,standard
26,38,standard
26,39,standard
26,40,deluxe
27,1,standard
27,2,standard
27,3,deluxe
27,4,superior
27,5,standard
27,6,deluxe
27,7,standard
27,8,superior
27,9,superior
27,10,deluxe
27,11,deluxe
27,12,standard
27,13,standard
27,14,standard
27,15,suite
27,16,deluxe
27,17,superior
27,18,deluxe
27,19,superior
27,20,standard
27,21,standard
27,22,deluxe
27,23,superior
27,24,superior
27,25,superior
27,26,standard
27,27,superior
27,28,standard
27,29,standard
27,30,suite
27,31,deluxe
27,32,suite
27,33,superior
27,34,standard
27,35,superior
27,36,superior
27,37,standard
27,38,standard
27,39,standard
27,40,deluxe
28,1,standard
28,2,standard
28,3,deluxe
28,4,superior
28,5,standard
28,6,deluxe
28,7,standard
28,8,superior
28,9,superior
28,10,deluxe
28,11,deluxe
28,12,standard
28,13,standard
28,14,standard
28,15,suite
28,16,deluxe
28,17,superior
28,18,deluxe
28,19,superior
28,20,standard
28,21,standard
28,22,deluxe
28,23,superior
28,24,superior
28,25,superior
28,26,standard
28,27,superior
28,28,standard
28,29,standard
28,30,suite
28,31,deluxe
28,32,suite
28,33,superior
28,34,standard
28,35,superior
28,36,superior
28,37,standard
28,38,standard
28,39,standard
28,40,deluxe
29,1,standard
29,2,standard
29,3,deluxe
29,4,superior
29,5,standard
29,6,deluxe
29,7,standard
29,8,superior
29,9,superior
29,10,deluxe
29,11,deluxe
29,12,standard
29,13,standard
29,14,standard
29,15,suite
29,16,deluxe
29,17,superior
29,18,deluxe
29,19,superior
29,20,standard
29,21,standard
29,22,deluxe
29,23,superior
29,24,superior
29,25,superior
29,26,standard
29,27,superior
29,28,standard
29,29,standard
29,30,suite
29,31,deluxe
29,32,suite
29,33,superior
29,34,standard
29,35,superior
29,36,superior
29,37,standard
29,38,standard
29,39,standard
29,40,deluxe
30,1,standard
30,2,standard
30,3,deluxe
30,4,superior
30,5,standard
30,6,deluxe
30,7,standard
30,8,superior
30,9,superior
30,10,deluxe
30,11,deluxe
30,12,standard
30,13,standard
30,14,standard
30,15,suite
30,16,deluxe
30,17,superior
30,18,deluxe
30,19,superior
30,20,standard
30,21,standard
30,22,deluxe
30,23,superior
30,24,superior
30,25,superior
30,26,standard
30,27,superior
30,28,standard
30,29,standard
30,30,suite
30,31,deluxe
30,32,suite
30,33,superior
30,34,standard
30,35,superior
30,36,superior
30,37,standard
30,38,standard
30,39,standard
30,40,deluxe
